id,campus,goldribbon,district,county,street,city,zip,lowgrade,highgrade,region,aea,charter,magnet,peg,enrollment,percentafam,percentamindian,percentasian,percenthispanic,percentpacisl,percenttwo,percentwhite,percentecodis,mobilitypct,totalreading,totalmath,r.notmeet.pct,rapproaches,rmeets,r.masters.pct,m.notmeet.pct,mapproaches,mmeets,m.masters.pct,sat.act.part.rate,sat,act,ap.ib.part.rate,ap.ib.above.criterion.rate,nceread,ncemath,avg.growth,eng1.all.cnt.2,eng1.meets.cnt.2,eng2.all.cnt.2,eng2.meets.cnt.2,alg1.all.cnt.2,alg1.meets.cnt.2,w.avg,stud.ach.grade,residuals,camp.perf.score,camp.perf.grade,growth.grade,elem/middle.total.score.33.33.33,high.total.score.25.25.25.25(HS),staterank2018,staterank2017,staterank2016,staterank2015,grade2018,grade2017,grade2016,grade2015,2018 regional rank,2017 regional rank,2016 regional rank,2015 regional rank,level,e.avg(HS),a.avg(HS),g.rate.6yr(HS),g.rate.5yr(HS),g.rate.4yr(HS),g.rate.car(HS),college.rd(HS),college.rd.grade(HS)
20905102,A P Beutel El,No,Brazosport ISD,BRAZORIA COUNTY,P O DRAWER Z,FREEPORT,77541-1926,EE,4,4,N,No,No,No,518,3.47%,0.39%,3.09%,38.61%,0.00%,2.32%,52.12%,35.33%,14.8,207,207,26.57004831,72.90%,47.82608696,27.53623188,18.84057971,80.70%,53.62%,35.74879227,NA,N/A,N/A,NA,NA,49.85569382,58.34077454,54.09823418,1,NA,NA,NA,NA,NA,50.72463768,B,-3.355677741,47.36895994,C,B,50.67987999,NA,1580,1477,1694,1680,B-,B,B-,B,351/892,329/878,379/856,379/856/870,Elementary school,NA,NA,NA,NA,NA,NA,NA,NA
101810002,Academy Of Accelerated Learning,No,Academy Of Accelerated Learning Inc,HARRIS COUNTY,6025 CHIMNEY ROCK,HOUSTON,77081,PK,5,4,N,Yes,No,No,761,40.60%,1.58%,1.31%,55.32%,0.00%,0.66%,0.53%,98.42%,8.6,228,228,37.28070175,62.70%,32.45614035,19.29824561,32.45614035,67.50%,44.30%,25,NA,N/A,N/A,NA,NA,52.08356094,53.51059341,52.79707718,NA,NA,NA,NA,NA,NA,38.37719298,D,4.427228918,42.8044219,C,B,44.61490446,NA,2294,2462,2493,3062,C,C,C-,D+,490/892,514/878,537/856,537/856/870,Elementary school,NA,NA,NA,NA,NA,NA,NA,NA
101849101,Accelerated Interdisciplinary Acad,No,Accelerated Intermediate Academy,HARRIS COUNTY,P O BOX 20589,HOUSTON,77225-0589,PK,6,4,N,Yes,No,No,266,47.74%,0.75%,0.75%,48.50%,0.00%,0.00%,2.26%,95.11%,7.1,110,110,20.90909091,79.10%,43.63636364,18.18181818,13.63636364,86.40%,59.09%,27.27272727,NA,N/A,N/A,NA,NA,53.69644547,60.27359009,56.98501778,NA,NA,NA,NA,NA,NA,51.36363636,B,17.24441106,68.60804743,A,A,58.92658162,NA,787,786,1462,336,B+,A-,B,A+,192/892,196/878,334/856,334/856/870,Elementary school,NA,NA,NA,NA,NA,NA,NA,NA
101907107,Adam El,No,Cypress-Fairbanks ISD,HARRIS COUNTY,11303 HONEYGROVE LN,HOUSTON,77065-2413,EE,5,4,N,No,No,No,850,11.88%,0.71%,12.82%,40.82%,0.00%,3.41%,30.35%,51.18%,11.8,392,392,20.66326531,78.80%,52.04081633,33.16326531,16.32653061,83.40%,51.79%,27.04081633,NA,N/A,N/A,NA,NA,50.02674866,48.59210587,49.30942727,NA,NA,NA,NA,NA,NA,51.91326531,B,5.533541234,57.44680654,B,D,52.8369432,NA,1343,893,724,426,B-,A-,A-,A,308/892,218/878,198/856,198/856/870,Elementary school,NA,NA,NA,NA,NA,NA,NA,NA
101905043,Aguirre J H,No,Channelview ISD,HARRIS COUNTY,15276 WALLISVILE RD,HOUSTON,77049,6,8,4,N,No,No,No,1002,13.37%,0.90%,1.30%,76.75%,0.20%,1.30%,6.19%,80.14%,10.2,985,869,29.03553299,71.00%,32.18274112,13.0964467,29.11392405,70.90%,32.34%,7.364787112,NA,N/A,N/A,NA,NA,50.67550278,48.19240952,49.43395615,NA,NA,NA,NA,115,113,32.25937976,D,1.777375183,34.03675495,D,D,38.53812026,NA,1202,1506,1269,1374,C,D,D,D,222/328,249/316,249/316/302,249/316/302/314,Middle school,NA,NA,NA,NA,NA,NA,NA,NA
101911101,Alamo El,No,Goose Creek CISD,HARRIS COUNTY,P O BOX 30,BAYTOWN,77522-0030,EE,5,4,N,No,No,No,781,19.33%,0.13%,2.30%,61.08%,0.26%,1.92%,14.98%,69.53%,22.9,397,397,29.21914358,70.80%,41.05793451,24.1813602,25.69269521,74.30%,43.83%,20.40302267,NA,N/A,N/A,NA,NA,54.78339767,57.88731003,56.33535385,NA,NA,NA,NA,NA,NA,42.44332494,C,3.808809084,46.25213402,C,A,48.29526067,NA,1844,1754,2276,2037,C+,B-,C,C+,395/892,380/878,493/856,493/856/870,Elementary school,NA,NA,NA,NA,NA,NA,NA,NA
101903045,Albright Middle,Yes,Alief ISD,HARRIS COUNTY,6315 WINKLEMAN,HOUSTON,77083-1339,7,8,4,N,No,No,No,1100,36.64%,0.27%,17.09%,41.36%,0.09%,0.82%,3.73%,76.36%,16.5,1093,978,24.51967063,75.50%,42.8179323,18.6642269,28.32310838,71.70%,37.53%,12.57668712,NA,N/A,N/A,NA,NA,48.48881912,48.35686111,48.42284012,NA,NA,NA,NA,114,113,40.17174733,C,8.805370789,48.97711812,B,D,45.81137796,NA,765,708,649,685,B-,B,B-,B,145/328,128/316,128/316/302,128/316/302/314,Middle school,NA,NA,NA,NA,NA,NA,NA,NA
101912102,Alcott El,No,Houston ISD,HARRIS COUNTY,5859 BELLFORT,HOUSTON,77033-2199,EE,5,4,N,No,No,Yes,290,67.59%,0.00%,0.00%,30.00%,0.00%,2.07%,0.34%,96.21%,20.6,141,141,65.24822695,34.80%,12.05673759,5.673758865,45.39007092,54.60%,22.70%,7.80141844,NA,N/A,N/A,NA,NA,42.67335892,56.49732971,49.58534432,NA,NA,NA,NA,NA,NA,17.37588652,F,-16.67715691,0.69872962,F,D,22.53076683,NA,4393,3032,3714,4162,F,D+,F,F,873/892,630/878,772/856,772/856/870,Elementary school,NA,NA,NA,NA,NA,NA,NA,NA
101902001,Aldine H S,No,Aldine ISD,HARRIS COUNTY,11101 AIRLINE DR,HOUSTON,77037-1183,9,12,4,N,No,No,No,2569,7.82%,0.08%,0.78%,89.80%,0.00%,0.04%,1.48%,83.61%,16.7,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,99.9,1100 (avg.: 1375),17.4 (avg.: 20.3),20.1,39.5,47.9244957,48.87620544,48.40035057,1158,275,NA,NA,979,392,40.04085802,C,0.959075587,40.99993361,C,D,NA,48.33551549,812,1350,801,626,C,F,D+,C+,116/191,182/187,116/171,116/171/162,High school,NA,40.04085802,0.720720721,0.737073707,0.771700357,0.771700357,63.90091977,F
101902041,Aldine Middle,No,Aldine ISD,HARRIS COUNTY,14908 ALDINE-WESTFIELD RD,HOUSTON,77032-3097,7,8,4,N,No,No,No,899,18.58%,0.00%,0.56%,78.31%,0.11%,0.56%,1.89%,93.21%,19.1,885,887,41.3559322,58.60%,22.37288136,7.796610169,38.33145434,61.70%,31.91%,9.695603157,NA,N/A,N/A,NA,NA,45.16576767,45.29665375,45.23121071,NA,NA,NA,NA,13,13,27.13909006,D,-0.939528762,26.1995613,D,F,32.82376407,NA,1553,1474,1506,1464,D+,D,F,D-,264/328,242/316,242/316/302,242/316/302/314,Middle school,NA,NA,NA,NA,NA,NA,NA,NA
